0,category,0,0,0,0,0,0,7#,#ddl
2,paintjob,300,50,50,50,50,50,7#menu/fileshare_category_paintjobs,#gamedata/ddl/generated/fileshare_paintjob.ddl
1,emblem,100,32,32,32,32,32,7#menu/fileshare_category_emblems,#gamedata/ddl/generated/fileshare_emblem.ddl
12,customgame,7000,50,50,50,50,50,7#menu/fileshare_category_customgames,#gamedata/ddl/generated/fileshare_customgame.ddl
11,screenshot,5000,50,50,50,50,50,7#menu/fileshare_category_screenshots,#
6,clip,1000,20,25,25,25,25,7#menu/fileshare_category_clips,#
10,film,3000,20,25,25,25,25,7#menu/fileshare_category_films,#
14,clip_private,2000,25,25,25,25,25,7#menu/fileshare_category_clips,#
13,film_private,4000,25,25,25,25,25,7#menu/fileshare_category_films,#
15,screenshot_private,6000,50,50,50,50,50,7#menu/fileshare_category_screenshots,#
16,customgame_private,8000,50,50,50,50,50,7#menu/fileshare_category_customgames,#
17,groups,200,50,50,50,50,50,7#hash_27b869ac14830908,#gamedata/ddl/fileshare/fileshare_emblem.ddl
