1,312445865,#hash_12f6abf6e76b5d8c,#palette,#legendary,0,#,#,#,,#pbt_mp_firebreak,#pbt_wz_firebreak,#hash_5bc10e971d2861c
2,0,#contraband,#,#,0,#,#,#,,#,#,#
3,384851241,#hash_1a3e63cfe3ab0e5c,#decal,#legendary,0,#,#,#,,#pbt_mp_firebreak,#pbt_wz_firebreak,#hash_5bc10e971d2861c
4,0,#contraband,#,#,0,#,#,#,,#,#,#
5,315582749,#loot_tags_muertos_firebreak,#tag,#common,0,#,#,#,,#pbt_mp_firebreak,#pbt_wz_firebreak,#
6,0,#contraband,#,#,0,#,#,#,,#,#,#
7,376391999,#loot_ui_icon_callingcards_muertos_firebreak,#calling_card,#rare,0,#,#,#,,#,#,#
8,0,#contraband,#,#,0,#,#,#,,#,#,#
9,370647682,#hash_2c21c9df2559927b,#war_paint,#legendary,0,#,#,#,,#pbt_mp_firebreak,#pbt_wz_firebreak,#hash_5bc10e971d2861c
10,326942995,#hash_3c1aeb02f664c10c,#gesture,#legendary,0,#,#,#,,#pbt_mp_firebreak,#pbt_wz_firebreak,#
