1,329852089,#hash_5a102285d36ecef4,#palette,#legendary,0,#,#,#,,#pbt_mp_enforcer,#pbt_wz_enforcer,#hash_37e5cf6bd859505
2,0,#contraband,#,#,0,#,#,#,,#,#,#
3,306364788,#hash_24a575ebc2285584,#decal,#legendary,0,#,#,#,,#pbt_mp_enforcer,#pbt_wz_enforcer,#hash_37e5cf6bd859505
4,0,#contraband,#,#,0,#,#,#,,#,#,#
5,358299269,#loot_tags_muertos_seraph,#tag,#common,0,#,#,#,,#pbt_mp_enforcer,#pbt_wz_enforcer,#
6,0,#contraband,#,#,0,#,#,#,,#,#,#
7,399322485,#loot_ui_icon_callingcards_muertos_seraph,#calling_card,#rare,0,#,#,#,,#,#,#
8,0,#contraband,#,#,0,#,#,#,,#,#,#
9,370338928,#hash_36da22891723fb11,#war_paint,#legendary,0,#,#,#,,#pbt_mp_enforcer,#pbt_wz_enforcer,#hash_37e5cf6bd859505
10,374566449,#hash_10eb98c5aecfec2,#gesture,#legendary,0,#,#,#,,#pbt_mp_enforcer,#pbt_wz_enforcer,#
