1,382319406,#hash_304b705059d5848,#palette,#legendary,0,#,#,#,,#pbt_mp_buffassault,#pbt_wz_buffassault,#hash_536c0d4dd6a242c1
2,0,#contraband,#,#,0,#,#,#,,#,#,#
3,392807976,#hash_36f0f31f99761fd8,#decal,#legendary,0,#,#,#,,#pbt_mp_buffassault,#pbt_wz_buffassault,#hash_536c0d4dd6a242c1
4,0,#contraband,#,#,0,#,#,#,,#,#,#
5,337106167,#loot_tags_muertos_crash,#tag,#common,0,#,#,#,,#pbt_mp_buffassault,#pbt_wz_buffassault,#
6,0,#contraband,#,#,0,#,#,#,,#,#,#
7,385999038,#loot_ui_icon_callingcards_muertos_crash,#calling_card,#rare,0,#,#,#,,#,#,#
8,0,#contraband,#,#,0,#,#,#,,#,#,#
9,329455764,#hash_c61024620cbde8b,#war_paint,#legendary,0,#,#,#,,#pbt_mp_buffassault,#pbt_wz_buffassault,#hash_536c0d4dd6a242c1
10,300101660,#hash_26610615b72de82,#gesture,#legendary,0,#,#,#,,#pbt_mp_buffassault,#pbt_wz_buffassault,#
