1,0,20,#contract/wins,#contract/big_wins
2,0,15,#contract/objective_wins,#contract/big_objective_wins
3,0,25,#contract/medals_specialist_abilities,#contract/big_medals_specialist_abilities
4,0,500,#contract/kills,#contract/big_kills
5,0,50000,#contract/score,#contract/big_score
6,0,100,#contract/attacker_defender_objective_games,#
7,0,25,#contract/kills_specialist_weapons,#contract/big_kills_specialist_weapons
8,0,25,#contract/kills_killstreaks,#contract/big_kills_killstreaks
1000,0,5,#contract/wins,#
1001,0,2,#contract/arena_wins,#
1002,0,3,#contract/tdm_wins,#
1003,0,3,#contract/ball_wins,#
1004,0,3,#contract/escort_wins,#
1005,0,3,#contract/conf_wins,#
1006,0,3,#contract/sd_wins,#
1007,0,3,#contract/koth_wins,#
1008,0,3,#contract/dom_wins,#
1009,0,10000,#contract/score,#
1010,0,5,#contract/kills_killstreaks,#
1011,0,200,#contract/killstreak_score,#
1012,0,10,#contract/kills_specialist_weapons,#
1013,0,10,#contract/medals_specialist_abilities,#
1014,0,3,#contract/killed_specialist_enemy,#
1015,0,100,#contract/kills,#
1016,0,10,#contract/headshots,#
1017,0,10,#contract/killed_defender_objective_games,#
1018,0,15,#contract/killed_attacker_objective_games,#
1019,0,100,#contract/ar_kills,#
1020,0,100,#contract/smg_kills,#
1021,0,50,#contract/sniper_kills,#
1022,0,100,#contract/lmg_kills,#
1023,0,100,#contract/shotgun_kills,#
1024,0,100,#contract/pistol_kills,#
1025,0,100,#contract/loaded_weapon_kills,#
1026,0,3,#contract/ctf_wins,#
1027,0,3,#contract/dem_wins,#
1028,0,3,#contract/dm_wins,#
2000,0,100,#contract/ar_kills,#
2001,0,50,#contract/launcher_kills,#
2002,0,100,#contract/lmg_kills,#
2003,0,50,#contract/melee_weapon_kills,#
2004,0,100,#contract/pistol_kills,#
2005,0,100,#contract/shotgun_kills,#
2006,0,100,#contract/smg_kills,#
2007,0,50,#contract/sniper_kills,#
2008,0,100,#hash_7e03963e29bfac7f,#
2009,0,3,#contract/ball_wins,#
2010,0,3,#contract/bounty_wins,#
2011,0,3,#contract/conf_wins,#
2012,0,3,#contract/ctf_wins,#
2013,0,3,#contract/dem_wins,#
2014,0,3,#contract/dm_wins,#
2015,0,3,#contract/dom_wins,#
2016,0,3,#contract/escort_wins,#
2017,0,3,#contract/gun_wins,#
2018,0,3,#contract/infect_wins,#
2019,0,3,#contract/koth_wins,#
2020,0,3,#contract/prop_wins,#
2021,0,3,#contract/sas_wins,#
2022,0,3,#contract/sd_wins,#
2023,0,3,#contract/tdm_wins,#
