1024,0,5,#weapon_pistol,#headshots,7#challenge/weapon_headshots,250,0,u3?0,#camo_alfa,#,0,7#,u3?1,0,FALSE,camo_alfa,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1025,1,10,#weapon_pistol,#headshots,7#challenge/weapon_headshots,500,0,u3?0,#camo_bravo,#,0,7#,u3?1,0,FALSE,camo_bravo,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1026,2,15,#weapon_pistol,#headshots,7#challenge/weapon_headshots,750,0,u3?0,#camo_charlie,#,0,7#,u3?1,0,FALSE,camo_charlie,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1027,3,20,#weapon_pistol,#headshots,7#challenge/weapon_headshots,1000,0,u3?0,#camo_delta,#,0,7#,u3?1,0,FALSE,camo_delta,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1028,4,30,#weapon_pistol,#headshots,7#challenge/weapon_headshots,1500,0,u3?0,#camo_echo,#,0,7#,u3?1,0,FALSE,camo_echo,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1029,5,40,#weapon_pistol,#headshots,7#challenge/weapon_headshots,2000,0,u3?0,#camo_foxtrot,#,0,7#,u3?1,0,FALSE,camo_foxtrot,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1030,6,50,#weapon_pistol,#headshots,7#challenge/weapon_headshots,2500,0,u3?0,#camo_golf,#,0,7#,u3?1,0,FALSE,camo_golf,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1031,7,75,#weapon_pistol,#headshots,7#challenge/weapon_headshots,3500,0,u3?0,#camo_hotel,#,0,7#,u3?1,0,FALSE,camo_hotel,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1032,8,100,#weapon_pistol,#headshots,7#challenge/weapon_headshots,5000,0,u3?0,#camo_india,#challenges_tu,0,7#,u3?1,0,FALSE,camo_india,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1033,0,10,#weapon_pistol,#longshot_kill,7#challenge/weapon_longshots,2500,1032,u3?0,#camo_juliett,#challenges_tu,0,7#,u3?1,0,FALSE,camo_juliett,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
1034,0,50,#weapon_pistol,#kills_noatt,7#challenge/weapon_noattachment,2500,1032,u3?0,#camo_kilo,#challenges_tu,0,7#,u3?1,0,FALSE,camo_kilo,FALSE,FALSE,FALSE,FALSE,FALSE,#,#,0
