10001,#hash_317a8b8df3aa8838,#combat,15,0,1,&#hash_534f6d4402126d63,&#hash_61911c5777a3e35,1,u9?0
10002,#contract_mp_trophy_system_defense,#equipment,5,0,1,&#contract/trophy_system_defense,&#contract/trophy_system_defense_desc,1,u9?0
10003,#hash_1005918e22a7865b,#combat,50,0,1,&#contract/ar_kills,&#contract/ar_kills_desc,1,u9?0
10004,#hash_2173bc0bfcbdf90f,#combat,50,0,1,&#contract/smg_kills,&#contract/smg_kills_desc,1,u9?0
10005,#hash_151c8e7a35e1e380,#combat,50,0,1,&#contract/lmg_kills,&#contract/lmg_kills_desc,1,u9?0
10006,#hash_1a4fe101c7aab2d,#combat,50,0,1,&#hash_7e03963e29bfac7f,&#hash_f549ac599bfd151,1,u9?0
10007,#hash_21762ab1513fddf,#combat,25,0,1,&#contract/sniper_kills,&#contract/sniper_kills_desc,1,u9?0
10008,#hash_5262d5b92e0fdc2,#combat,40,0,1,&#contract/shotgun_kills,&#contract/shotgun_kills_desc,1,u9?0
10009,#hash_250c2d8ef2261723,#combat,40,0,1,&#contract/pistol_kills,&#contract/pistol_kills_desc,1,u9?0
10010,#hash_3ffc3d28289d21bb,#equipment,5,0,1,&#hash_263d212048a01bfa,&#hash_4ef6f5bcd0444ca,1,u9?0
10011,#contract_mp_headshot,#combat,10,1,1,&#contract/headshots,&#contract/headshots_desc,1,u9?0
10012,#hash_4c15367eed618401,#combat,5,1,1,&#contract/blood_thirsty,&#contract/blood_thirsty_desc,1,u9?0
10013,#contract_mp_combat_axe_kill,#equipment,5,0,1,&#contract/combat_axe_kills,&#contract/combat_axe_kills_desc,1,u9?0
10014,#contract_mp_frag_double_kill,#equipment,1,1,1,&#contract/frag_double_kill,&#contract/frag_double_kill_desc,1,u9?0
10015,#contract_mp_molotov_kill,#equipment,5,0,1,&#contract/molotov_kill,&#contract/molotov_kill_desc,1,u9?0
10016,#hash_4a7d49c14e026e91,#equipment,1,1,1,&#hash_5befe7797bce6583,&#hash_6ea2fe9a01a3f715,1,u9?0
10017,#contract_mp_bankshot,#combat,1,1,1,&#contract/bankshot,&#contract/bankshot_desc,1,u9?0
10018,#contract_mp_longshot,#combat,5,0,1,&#contract/longshot,&#contract/longshot_desc,1,u9?0
10019,#contract_mp_shutdown,#combat,1,1,1,&#contract/shutdown,&#contract/shutdown_desc,1,u9?0
10020,#contract_mp_oneshot_onekill,#combat,20,0,1,&#contract/oneshot_onekill,&#contract/oneshot_onekill_desc,1,u9?0
10021,#contract_mp_quad_feed,#combat,1,1,1,&#contract/quad_feed,&#contract/quad_feed_desc,1,u9?0
10022,#contract_mp_pickup_weapon_kills,#combat,20,0,1,&#contract/pickup_weapon_kills,&#contract/pickup_weapon_kills_desc,1,u9?0
10023,#contract_mp_hotswap_multikill,#combat,1,1,1,&#contract/hotswap_multikills,&#contract/hotswap_multikills_desc,1,u9?0
10024,#contract_mp_attachments3_primary_ekia,#combat,50,0,1,&#contract/attachments3_primary_ekia,&#contract/attachments3_primary_ekia_desc,1,u9?0
10025,#contract_mp_attachments5_primary_ekia,#combat,50,0,1,&#contract/attachments5_primary_ekia,&#contract/attachments5_primary_ekia_desc,1,u9?0
10026,#contract_mp_attachments3_secondary_ekia,#combat,40,0,1,&#contract/attachments3_secondary_ekia,&#contract/attachments3_secondary_ekia_desc,1,u9?0
10027,#contract_mp_attachments5_secondary_ekia,#combat,40,0,1,&#contract/attachments5_secondary_ekia,&#contract/attachments5_secondary_ekia_desc,1,u9?0
10028,#contract_mp_overkill,#combat,10,0,1,&#contract/overkill,&#contract/overkill_desc,1,u9?0
10029,#contract_mp_class_5_perks,#combat,50,0,1,&#contract/class_5_perks,&#contract/class_5_perks_desc,1,u9?0
10030,#contract_mp_class_gluttony,#combat,50,0,1,&#contract/class_gluttony,&#contract/class_gluttony_desc,1,u9?0
10031,#contract_mp_dart_kills,#scorestreak,5,0,1,&#contract/dart_kills,&#contract/dart_kills_desc,1,u9?0
10032,#contract_mp_gunship_kills,#scorestreak,5,1,1,&#contract/gunship_kills,&#contract/gunship_kills_desc,1,u9?0
10033,#contract_mp_rcxd_kills,#scorestreak,5,0,1,&#contract/rcxd_kills,&#contract/rcxd_kills_desc,1,u9?0
10034,#contract_mp_lightning_strike,#scorestreak,5,1,1,&#contract/lightning_strike,&#contract/lightning_strike_desc,1,u9?0
10035,#contract_mp_hellstorm_kills,#scorestreak,5,1,1,&#contract/hellstorm_kills,&#contract/hellstorm_kills_desc,1,u9?0
10036,#contract_mp_mantis_kills,#scorestreak,5,1,1,&#contract/mantis_kills,&#contract/mantis_kills_desc,1,u9?0
10037,#contract_mp_collateral,#combat,1,1,1,&#contract/collateral,&#contract/collateral_desc,1,u9?0
10038,#hash_ca75e54eb5e5ef8,#combat,1,1,1,&#hash_4c9c3ba74277a176,&#hash_413d68b6a2f85d86,1,u9?0
10039,#contract_mp_merciless,#combat,1,1,1,&#contract/merciless,&#contract/merciless_desc,1,u9?0
10040,#contract_mp_objective_capture,#objective,10,0,1,&#contract/objective_capture,&#contract/objective_capture_desc,1,u9?0
10041,#contract_mp_eliminations,#objective,25,0,1,&#contract/eliminations,&#contract/eliminations_desc,1,u9?0
10042,#contract_mp_objective_ekia,#objective,50,0,1,&#contract/objective_ekia,&#contract/objective_ekia_desc,1,u9?0
10043,#contract_mp_scorestreak_assists,#scorestreak,250,0,1,&#contract/scorestreak_assists,&#contract/scorestreak_assists_desc,1,u9?0
10044,#hash_5903b7c9559be1e,#scorestreak,5,0,1,&#hash_62d4e65dd8c7d2b1,&#hash_2787a7c25fbffe0b,1,u9?0
10045,#hash_31951837e7c9b9ef,#scorestreak,5,0,1,&#hash_63ff2d063824b746,&#hash_11390b7e2860f736,1,u9?0
10046,#hash_276886a0fbac5de0,#scorestreak,1,1,1,&#hash_1bca74d07d1c411a,&#hash_4a9d2141052317aa,1,u9?0
10047,#hash_741b3c0ab3e7a55f,#scorestreak,1,1,1,&#hash_18292ad4016e22df,&#hash_1b8feca9146fe371,1,u9?0
10048,#contract_mp_specialist_weapon_multikills,#specialist,5,1,1,&#contract/specialist_weapon_multikills,&#contract/specialist_weapon_multikills_desc,1,u9?0
10049,#contract_mp_specialist_equipment_multikills,#specialist,5,1,1,&#contract/specialist_equipment_multikills,&#contract/specialist_equipment_multikills_desc,1,u9?0
10050,#contract_mp_specialist_weapon_ekia,#specialist,10,0,1,&#contract/specialist_weapon_ekia,&#contract/specialist_weapon_ekia_desc,1,u9?0
10051,#contract_mp_specialist_equipment_ekia,#specialist,10,0,1,&#contract/specialist_equipment_ekia,&#contract/specialist_equipment_ekia_desc,1,u9?0
10052,#contract_mp_hardcore_ekia,#combat,50,0,1,&#contract/hardcore_ekia,&#contract/hardcore_ekia_desc,1,u9?0
10053,#contract_mp_headshots_hardcore,#combat,10,0,1,&#contract/headshots_hardcore,&#contract/headshots_hardcore_desc,1,u9?0
10054,#contract_mp_multikill_2_or_better,#combat,10,0,1,&#contract/multikill_2_or_better,&#contract/multikill_2_or_better_desc,1,u9?0
